district_id,city_id,region_id,local_seq,name_ar,name_en,center_lat,center_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat
10100306001,306,1,1,حي الورود,Al Wurud Dist.,26.0268564,44.9531594,44.9489038,26.0234646,44.9581333,26.0302533
10100306002,306,1,2,حي الزهور,Az Zuhur Dist.,26.0299688,44.9438173,44.9402989,26.02626,44.9470614,26.0363078
10100306003,306,1,3,حي الاندلس,Al Andalus Dist.,26.02065,44.9442163,44.9407931,26.0166662,44.9486017,26.0241228
10100306004,306,1,4,حي الربيع,Ar Rabie Dist.,26.037277,44.934565,44.9316362,26.0298964,44.9375478,26.0424868
10100306005,306,1,5,حي المصيف,Al Masiaf Dist.,26.0392722,44.9388591,44.9363543,26.0356808,44.9446014,26.0431894
10100306006,306,1,6,حي الياسمين,Al Yasmin Dist.,26.0301965,44.9377198,44.93293,26.0262752,44.9412627,26.0359485
10100306007,306,1,7,حي الخزامى,Al Khuzama Dist.,26.0252915,44.9471763,44.9429283,26.0214793,44.9512569,26.0301249
10100306008,306,1,8,حي غرناطة,Ghirnatah Dist.,26.0190814,44.9519499,44.946658,26.0162288,44.9555429,26.0219803
10100306009,306,1,9,حي الغدير,Al Ghadir Dist.,26.0234123,44.9524231,44.9494228,26.0208515,44.9569711,26.0255622
10100306010,306,1,10,حي الصناعية,As Sinaiyah Dist.,26.0219377,44.9693992,44.9673115,26.020287,44.9708266,26.0246981
10100306011,306,1,11,حي النفل,An Naql Dist.,26.022884,44.965169,44.9611612,26.0203378,44.96875,26.0275723
10100306012,306,1,12,حي البستان,Al Bustan Dist.,26.0256487,44.9597486,44.9569711,26.022093,44.9630427,26.0296472
10100306013,306,1,13,حي النخيل,Al Nakhil Dist.,26.0314522,44.9501499,44.9470554,26.0273545,44.9535975,26.0351528
10100306014,306,1,14,حي المروج,Al Muruj Dist.,26.0296661,44.9550601,44.9517298,26.0271104,44.9589385,26.0332563
10100418001,418,1,1,حي شمال الاذاعة,Al Idhaah North Dist.,23.8660668,42.8935649,42.8860818,23.8592033,42.8967104,23.8716344
10100418002,418,1,2,حي المعارض,Al Maarid Dist.,23.8771,42.8983021,42.888587,23.8693245,42.9044057,23.8887471
10100418003,418,1,3,حي الاذاعة,Al Idhaah Dist.,23.8705632,42.898696,42.8903141,23.8511982,42.9126574,23.8813844
10100418004,418,1,4,حي الملك فهد,King Fahd Dist.,23.8927693,42.9043022,42.8952685,23.8855321,42.9102728,23.901454
